PG_Name,Location,Price,Gender_Preference,WiFi,Food,AC,Laundry,Parking,Security,Rating,Contact,Distance_to_Metro(km)
StayEase PG,Pitampura,7720,Women-only,Yes,No,Yes,Yes,Yes,No,4.6,9876549788,1.3
CityNest,Dwarka,10667,Women-only,Yes,Yes,No,No,Yes,Yes,4.9,9876543553,2.3
Elite Rooms,Pitampura,12927,Men-only,No,Yes,No,Yes,Yes,Yes,4.6,9876562534,2.1
CityNest,Gurugram Sector 14,6822,Unisex,Yes,Yes,Yes,Yes,Yes,No,4.7,9876533794,2.6
BudgetStay,Rohini,11667,Unisex,Yes,Yes,Yes,Yes,No,No,4.0,9876576773,4.1
UrbanStay PG,Noida Sec 62,8799,Unisex,Yes,Yes,Yes,No,Yes,Yes,5.0,9876576704,4.9
StayEase PG,Lajpat Nagar,7666,Unisex,Yes,Yes,Yes,No,No,No,3.0,9876532527,0.7
BudgetStay,Rohini,14554,Unisex,Yes,Yes,Yes,Yes,No,Yes,3.7,9876524383,4.0
Cosy Homes,Connaught Place,6348,Unisex,Yes,No,Yes,Yes,Yes,No,4.0,9876547619,0.6
StayEase PG,Lajpat Nagar,10962,Unisex,Yes,Yes,Yes,No,No,No,3.9,9876547506,1.5
CityNest,Dwarka,12340,Women-only,Yes,Yes,Yes,Yes,No,Yes,3.6,9876545551,3.1
Cosy Homes,Rohini,10626,Men-only,Yes,Yes,No,No,Yes,Yes,4.7,9876573686,3.2
UrbanStay PG,Gurugram Sector 14,6093,Unisex,No,No,Yes,No,No,No,3.5,9876597686,4.4
StayEase PG,Lajpat Nagar,11467,Men-only,Yes,Yes,No,Yes,No,No,4.6,9876513743,0.5
Cosy Homes,Pitampura,14191,Men-only,No,Yes,Yes,Yes,Yes,Yes,4.0,9876585297,4.4
Elite Rooms,Delhi University,12941,Women-only,Yes,No,No,Yes,Yes,No,4.7,9876505019,0.4
ComfortNest,Connaught Place,12354,Men-only,No,No,Yes,No,Yes,No,4.3,9876555843,2.4
BudgetStay,Saket,12945,Unisex,Yes,No,Yes,Yes,No,Yes,3.0,9876532473,1.8
NestSide Living,Lajpat Nagar,14233,Women-only,No,No,Yes,Yes,Yes,Yes,4.0,9876506375,3.1
NestSide Living,Connaught Place,9286,Men-only,No,Yes,No,No,No,No,3.4,9876525840,1.5
Elite Rooms,Pitampura,13811,Men-only,No,No,Yes,No,No,No,3.9,9876534016,1.0
Cosy Homes,Delhi University,7337,Men-only,No,No,Yes,Yes,No,Yes,3.2,9876536596,3.4
NestSide Living,Rohini,6184,Unisex,Yes,No,No,Yes,Yes,Yes,4.7,9876586212,4.4
Cosy Homes,Lajpat Nagar,12707,Women-only,Yes,Yes,No,No,Yes,Yes,4.8,9876505419,4.4
UrbanStay PG,Vasant Kunj,13514,Women-only,Yes,Yes,No,No,No,No,3.9,9876561944,4.5
Elite Rooms,Connaught Place,9345,Unisex,No,No,Yes,No,Yes,Yes,3.4,9876571884,2.6
GreenView PG,Dwarka,6797,Men-only,No,Yes,No,No,Yes,No,4.6,9876572392,2.9
UrbanStay PG,Gurugram Sector 14,12887,Men-only,No,No,No,No,Yes,No,4.7,9876560220,2.8
NestSide Living,Lajpat Nagar,11342,Women-only,Yes,No,No,Yes,Yes,No,3.7,9876587634,0.5
Royal Residency,Lajpat Nagar,8403,Unisex,No,Yes,No,No,Yes,No,3.3,9876566802,2.5
UrbanStay PG,Delhi University,6422,Men-only,No,No,No,No,No,No,3.2,9876510804,3.0
CityNest,Delhi University,14445,Men-only,Yes,No,No,No,Yes,No,3.0,9876554672,0.9
Royal Residency,Delhi University,10236,Women-only,Yes,Yes,Yes,Yes,Yes,No,4.1,9876579578,0.5
